,name,platform,original_price,discounted_price,discount,release_data,users_rating,category,extraction_date
0,The Division 2 (Europe),Uplay,60€,43.79€,-27%,15 marzo 2019,81 /100,GAME,2019-03-29
1,Sekiro: Shadows Die Twice (Europe),Steam,60€,51.69€,-14%,22 marzo 2019,87 /100,GAME,2019-03-29
2,Grand Theft Auto V,Rockstar,30€,11.59€,-61%,14 abril 2015,88 /100,GAME,2019-03-29
3,Battlefield 5,Origin,60€,28.98€,-52%,20 noviembre 2018,76 /100,GAME,2019-03-29
4,Guild Wars 2: 2000 Gems,Ncsoft,25€,16.81€,-33%,28 agosto 2012,91 /100,DLC,2019-03-29
5,Outward,Steam,40€,33.98€,-15%,26 marzo 2019,78 /100,GAME,2019-03-29
6,Suscripción Xbox Live Gold 12 Meses,Xbox,60€,38.99€,-35%,N/A,96 /100,GAME,2019-03-29
7,Sea of Thieves (PC / Xbox ONE),Xbox Play Anywhere,70€,39.89€,-43%,20 marzo 2018,80 /100,GAME,2019-03-29
8,FIFA 19: 2200 FUT Points,Origin,20€,14.54€,-27%,28 septiembre 2018,62 /100,DLC,2019-03-29
9,World of Warcraft: Tarjeta 60 Días (Europe),Battle.net,30€,21.32€,-29%,29 noviembre 2004,94 /100,DLC,2019-03-29
10,Grand Theft Auto V: Premium Online Edition,Rockstar,35€,14.90€,-57%,14 abril 2015,88 /100,GAME,2019-03-29
11,Rocket League,Steam,20€,7.98€,-60%, 7 julio 2015,92 /100,GAME,2019-03-29
12,Forza Horizon 4 (PC / Xbox ONE),Xbox Play Anywhere,70€,34.99€,-50%, 2 octubre 2018,89 /100,GAME,2019-03-29
13,Football Manager 2019 (Europe),Steam,55€,19.26€,-65%, 2 noviembre 2018,86 /100,GAME,2019-03-29
14,Ark: Survival Evolved,Steam,55€,14.49€,-74%,29 agosto 2017,78 /100,GAME,2019-03-29
15,Call of Duty: Black Ops II,Steam,60€,6.87€,-89%,13 noviembre 2012,87 /100,GAME,2019-03-29
16,Borderlands 2 (Game of the Year Edition) (Europe),Steam,45€,5.42€,-88%,12 octubre 2010,92 /100,GAME,2019-03-29
17,Euro Truck Simulator 2,Steam,20€,4.98€,-75%,19 octubre 2012,91 /100,GAME,2019-03-29
18,Tropico 6 (Europe),Steam,50€,30.69€,-39%,29 marzo 2019,80 /100,GAME,2019-03-29
19,Generation Zero,Steam,35€,28.95€,-17%,26 marzo 2019,58 /100,GAME,2019-03-29
20,Los Sims 4 (Europe),Origin,40€,11.99€,-70%, 4 septiembre 2014,82 /100,GAME,2019-03-29
21,The Division 2 Xbox ONE,Xbox,70€,50.99€,-27%,15 marzo 2019,81 /100,GAME,2019-03-29
22,Human: Fall Flat,Steam,15€,3.29€,-78%,22 julio 2016,86 /100,GAME,2019-03-29
23,Call of Duty: Black Ops III + Nuketown,Steam,60€,8.26€,-86%, 5 noviembre 2015,79 /100,GAME,2019-03-29
24,Titanfall 2,Origin,60€,9.49€,-84%,28 octubre 2016,88 /100,GAME,2019-03-29
25,F1 2018,Steam,55€,12.85€,-77%,24 agosto 2018,90 /100,GAME,2019-03-29
26,Suscripción Xbox Live Gold 1 Mes,Xbox,7€,6.73€,-4%,N/A,96 /100,GAME,2019-03-29
27,Xbox Live Gold 14 Days Membership (Only New Accounts),Xbox,4€,1.99€,-50%,N/A,96 /100,GAME,2019-03-29
28,Suscripción Xbox Live Gold 3 Meses,Xbox,20€,13.99€,-30%,N/A,96 /100,GAME,2019-03-29
29,Dead by Daylight,Steam,20€,8.68€,-57%,14 junio 2016,83 /100,GAME,2019-03-29
30,Grid 2,Steam,25€,1.01€,-96%,31 mayo 2013,80 /100,GAME,2019-03-29
31,Fortnite Bomber Skin + 500 V-bucks PS4 (Europe),Playstation,80€,13.99€,-83%,25 julio 2017,74 /100,GAME,2019-03-29
32,Tom Clancy's Rainbow Six Siege (Europe),Uplay,40€,12.98€,-68%, 1 diciembre 2015,86 /100,GAME,2019-03-29
33,FIFA 19,Origin,60€,26.43€,-56%,28 septiembre 2018,66 /100,GAME,2019-03-29
34,Playerunknown's Battlegrounds,Steam,30€,20.26€,-32%,21 diciembre 2017,83 /100,GAME,2019-03-29
35,Farming Simulator 19,Steam,35€,26.31€,-25%,20 noviembre 2018,87 /100,GAME,2019-03-29
36,Los Sims 4: ¡Rumbo a la Fama! ,Origin,40€,15.98€,-60%,16 noviembre 2018,91 /100,DLC,2019-03-29
37,Sid Meier's Civilization VI: Gathering Storm (Europe),Steam,40€,27.53€,-31%,14 febrero 2019,93 /100,DLC,2019-03-29
38,Far Cry New Dawn (Europe),Uplay,45€,19.98€,-56%,15 febrero 2019,74 /100,GAME,2019-03-29
39,Devil May Cry 5 (Europe),Steam,60€,35.49€,-41%, 8 marzo 2019,90 /100,GAME,2019-03-29
40,For the King,Steam,20€,2.41€,-88%,28 febrero 2017,87 /100,GAME,2019-03-29
41,Euro Truck Simulator 2: Beyond the Baltic Sea,Steam,18€,8.52€,-53%,29 noviembre 2018,97 /100,DLC,2019-03-29
42,Minecraft,Official Website,24€,20.80€,-13%,19 noviembre 2011,89 /100,GAME,2019-03-29
43,Metro: Exodus (Europe),Epic Games,60€,37.98€,-37%,15 febrero 2019,78 /100,GAME,2019-03-29
44,Dark Souls 3 Deluxe Edition,Steam,85€,17.49€,-79%,12 abril 2016,92 /100,GAME,2019-03-29
45,The Elder Scrolls V: Skyrim Special Edition,Steam,40€,13.14€,-67%,28 octubre 2016,94 /100,GAME,2019-03-29
46,Battlefield 1 Revolution Xbox ONE,Xbox,40€,1.99€,-95%,22 agosto 2017,84 /100,GAME,2019-03-29
47,Tarjeta PlayStation Network 50€ (España) (ES),Playstation,50€,43.99€,-12%,N/A,96 /100,GAME,2019-03-29
48,Civilization VI (Europe),Steam,60€,10.33€,-83%,21 octubre 2016,86 /100,GAME,2019-03-29
49,Call of Duty: Modern Warfare 3 (Europe),Steam,40€,5.92€,-85%, 8 noviembre 2011,85 /100,GAME,2019-03-29
50,Assassin's Creed Odyssey (Europe),Uplay,60€,24.75€,-59%, 5 octubre 2018,85 /100,GAME,2019-03-29
51,Xbox Game Pass 1 Month Trial Xbox ONE (Only New Accounts),Xbox,10€,1.99€,-80%,N/A,99 /100,GAME,2019-03-29
52,Los Sims 4: Perros y Gatos,Origin,40€,15.49€,-61%,10 noviembre 2017,91 /100,DLC,2019-03-29
53,Doom,Steam,20€,6.54€,-67%,13 mayo 2016,91 /100,GAME,2019-03-29
54,Conan Exiles,Steam,40€,14.55€,-64%, 8 mayo 2018,75 /100,GAME,2019-03-29
55,Overwatch Legendary Edition,Battle.net,40€,23.20€,-42%,24 julio 2018,90 /100,GAME,2019-03-29
56,Tarjeta regalo Xbox Live 10€ (zona euro),Xbox,10€,9.79€,-2%,N/A,95 /100,GAME,2019-03-29
57,Los Sims 4: Y Las Cuatro Estaciones,Origin,40€,16.98€,-57%,22 junio 2018,92 /100,DLC,2019-03-29
58,Total War: Warhammer II (Europe),Steam,60€,14.83€,-75%,28 septiembre 2017,88 /100,GAME,2019-03-29
59,Office Hogar y Estudiante 2016,Software,149€,14.49€,-90%,22 septiembre 2015,84 /100,GAME,2019-03-29
60,Call of Duty: Modern Warfare 2 (Europe),Steam,20€,5.74€,-71%,10 noviembre 2009,89 /100,GAME,2019-03-29
61,Mortal Kombat XL,Steam,20€,5.00€,-75%,13 abril 2015,85 /100,GAME,2019-03-29
62,Euro Truck Simulator 2: Italia,Steam,18€,6.55€,-64%, 5 diciembre 2017,95 /100,DLC,2019-03-29
63,Civilization VI: Rise and Fall (Europe),Steam,30€,12.14€,-60%, 8 febrero 2018,91 /100,DLC,2019-03-29
64,FIFA 19: 12000 FUT Points Xbox ONE,Xbox,100€,84.89€,-15%,28 septiembre 2018,? /100,DLC,2019-03-29
65,Yoshi's Crafted World Switch (Europe),Nintendo,60€,47.99€,-20%,29 marzo 2019,? /100,GAME,2019-03-29
66,Xbox Live Gold 12 Month Membership (Europe),Xbox,60€,37.99€,-37%,N/A,100 /100,GAME,2019-03-29
67,Euro Truck Simulator 2: Vive la France,Steam,18€,4.19€,-77%, 5 diciembre 2016,93 /100,DLC,2019-03-29
68,Cities: Skylines,Steam,28€,6.19€,-78%,10 marzo 2015,88 /100,GAME,2019-03-29
69,Los Sims 3,Official Website,32€,3.84€,-88%, 4 junio 2009,84 /100,GAME,2019-03-29
70,Nioh: Complete Edition (Europe),Steam,50€,18.39€,-63%, 7 noviembre 2017,76 /100,GAME,2019-03-29
71,Resident Evil 2 Biohazard RE:2 (Europe),Steam,60€,28.29€,-53%,25 enero 2019,93 /100,GAME,2019-03-29
72,Stardew Valley,Steam,14€,11.53€,-18%,26 febrero 2016,93 /100,GAME,2019-03-29
73,PlayStation Plus - 14 Days Trial Only New Accounts (Europe),Playstation,,3.99€,N/A, 1 enero 2010,? /100,GAME,2019-03-29
74,Guild Wars 2: Path of Fire,Ncsoft,30€,16.49€,-45%,22 septiembre 2017,91 /100,GAME,2019-03-29
75,ARK: Survival Evolved Season Pass,Steam,40€,18.90€,-53%,29 agosto 2017,95 /100,DLC,2019-03-29
76,Tropico 6 El Prez Edition (Europe),Steam,55€,36.49€,-34%,29 marzo 2019,80 /100,GAME,2019-03-29
77,Watch Dogs 2 (Europe),Uplay,60€,8.55€,-86%,29 noviembre 2016,80 /100,GAME,2019-03-29
78,Fallout 4 GOTY Edition,Steam,40€,12.12€,-70%,25 septiembre 2017,88 /100,GAME,2019-03-29
79,Call of Duty: Black Ops (Europe),Steam,40€,6.48€,-84%, 9 noviembre 2010,88 /100,GAME,2019-03-29
80,Dark Souls 3,Steam,60€,11.98€,-80%,12 abril 2016,92 /100,GAME,2019-03-29
81,Assassin's Creed Odyssey Gold Edition Xbox ONE,Xbox,100€,38.78€,-61%, 5 octubre 2018,85 /100,GAME,2019-03-29
82,Payday 2,Steam,10€,4.37€,-56%,13 agosto 2013,88 /100,GAME,2019-03-29
83,Civilization V: Complete Edition,Steam,45€,7.38€,-84%,23 septiembre 2010,89 /100,GAME,2019-03-29
84,Tarjeta regalo Xbox Live 50€ (zona euro),Xbox,50€,47.49€,-5%,N/A,95 /100,GAME,2019-03-29
85,Assetto Corsa,Steam,20€,9.39€,-53%,19 diciembre 2014,85 /100,GAME,2019-03-29
86,Borderlands GOTY Edition,Steam,20€,5.25€,-74%, 8 octubre 2010,90 /100,GAME,2019-03-29
87,Mortal Kombat 11 (Beta Access) PS4 (Europe),Playstation,,2.09€,N/A,28 marzo 2019,? /100,DLC,2019-03-29
88,Arma 3 (Europe),Steam,35€,18.89€,-46%,12 septiembre 2013,87 /100,GAME,2019-03-29
89,DiRT Rally 2.0,Steam,55€,25.98€,-53%,26 febrero 2019,79 /100,GAME,2019-03-29
90,Fortnite Deep Freeze Bundle PC,Epic Games,30€,15.81€,-47%, 6 diciembre 2018,86 /100,GAME,2019-03-29
91,The Sims 4: Urbanitas,Origin,40€,16.49€,-59%, 3 noviembre 2016,90 /100,DLC,2019-03-29
92,Civilization VI Deluxe Edition (Europe),Steam,80€,13.13€,-84%,21 octubre 2016,86 /100,GAME,2019-03-29
93,TrackMania² Stadium,Steam,10€,4.70€,-53%,27 febrero 2013,88 /100,GAME,2019-03-29
94,Frostpunk (Europe),Steam,30€,13.98€,-53%,24 abril 2018,87 /100,GAME,2019-03-29
95,EA Access Pass 1 Mes Xbox One,Xbox,4€,2.99€,-25%,N/A,96 /100,GAME,2019-03-29
96,One Piece World Seeker,Steam,50€,34.98€,-30%,15 marzo 2019,61 /100,GAME,2019-03-29
97,Fortnite Eon Cosmetic Set + 2000 V-Bucks Xbox ONE,Xbox,100€,42.89€,-57%,26 septiembre 2018,87 /100,GAME,2019-03-29
98,Grand Theft Auto Online: Great White Shark Cash Card,Rockstar,15€,11.17€,-25%,14 abril 2015,88 /100,DLC,2019-03-29
99,Fallout 76 (Europe),Official Website,60€,15.99€,-73%,14 noviembre 2018,55 /100,GAME,2019-03-29
100,Euro Truck Simulator 2: Scandinavia,Steam,18€,4.40€,-76%, 6 mayo 2015,94 /100,DLC,2019-03-29
101,Space Engineers (Europe),Steam,17€,8.85€,-48%,23 octubre 2013,86 /100,GAME,2019-03-29
102,Borderlands: The Pre-Sequel (Europe),Steam,40€,5.81€,-85%,16 octubre 2014,85 /100,GAME,2019-03-29
103,Age of Empires: Definitive Edition,Official Website,20€,7.77€,-61%,20 febrero 2018,62 /100,GAME,2019-03-29
104,Star Wars: Battlefront 2,Origin,60€,12.96€,-78%,17 noviembre 2017,70 /100,GAME,2019-03-29
105,Los Sims 4: ¡A Trabajar!,Origin,40€,14.09€,-65%, 2 abril 2015,87 /100,DLC,2019-03-29
106,FIFA 19: 4600 FUT Points Xbox ONE,Xbox,40€,34.99€,-13%,28 septiembre 2018,? /100,DLC,2019-03-29
107,Tom Clancy's Rainbow Six Siege Year 4 Pass (Europe),Uplay,30€,26.49€,-12%, 5 marzo 2019,87 /100,DLC,2019-03-29
108,FIFA 19 Xbox ONE,Xbox,70€,24.99€,-64%,28 septiembre 2018,66 /100,GAME,2019-03-29
109,Battlefield 5 Deluxe Edition Xbox ONE,Xbox,90€,29.79€,-67%,18 noviembre 2018,76 /100,GAME,2019-03-29
110,7 Days to Die,Steam,23€,15.19€,-34%,13 diciembre 2013,86 /100,GAME,2019-03-29
111,Gears of War 4 (PC / Xbox One),Xbox Play Anywhere,70€,4.99€,-93%,11 octubre 2016,71 /100,GAME,2019-03-29
112,Grand Theft Auto Online: Tiger Shark Cash Card,Rockstar,4€,2.89€,-28%,14 abril 2015,87 /100,DLC,2019-03-29
113,Pc Building Simulator,Steam,20€,10.08€,-50%,N/A,84 /100,GAME,2019-03-29
114,The Elder Scrolls V: Skyrim Legendary Edition (Europe),Steam,45€,7.96€,-82%, 7 junio 2013,94 /100,GAME,2019-03-29
115,Battlefield 1,Origin,60€,9.49€,-84%,21 octubre 2016,85 /100,GAME,2019-03-29
116,Dying Light: The Following - Enhanced Edition (Europe),Steam,30€,14.04€,-53%, 9 febrero 2016,90 /100,GAME,2019-03-29
117,Terraria,Steam,10€,6.20€,-38%,16 mayo 2011,90 /100,GAME,2019-03-29
118,Tarjeta Nintendo eShop 15€ (Europe),Nintendo,15€,14.39€,-4%,N/A,100 /100,GAME,2019-03-29
119,Far Cry 5 (Europe),Uplay,60€,19.98€,-67%,27 marzo 2018,77 /100,GAME,2019-03-29
120,Two Point Hospital (Europe),Steam,35€,21.64€,-38%,30 agosto 2018,87 /100,GAME,2019-03-29
121,The Escapists 2,Steam,20€,7.85€,-61%,21 agosto 2017,93 /100,GAME,2019-03-29
122,We. The Revolution,Steam,20€,16.49€,-18%,21 marzo 2019,80 /100,GAME,2019-03-29
123,Middle-earth: Shadow of War Definitive Edition,Steam,50€,11.39€,-77%,28 agosto 2018,84 /100,GAME,2019-03-29
124,The Sims 4: Get Together,Origin,40€,11.49€,-71%,10 diciembre 2015,79 /100,DLC,2019-03-29
125,World of Warcraft: Battle for Azeroth (Europe),Battle.net,45€,29.54€,-34%,14 agosto 2018,86 /100,DLC,2019-03-29
126,The Division (Europe),Uplay,50€,13.99€,-72%, 8 marzo 2016,79 /100,GAME,2019-03-29
127,Anthem,Origin,60€,39.98€,-33%,22 febrero 2019,65 /100,GAME,2019-03-29
128,Skyrim 3 Addon Pack: Dawnguard + Dragonborn + Hearthfire,Steam,45€,5.73€,-87%,2013,96 /100,DLC,2019-03-29
129,Command & Conquer: The Ultimate Collection,Origin,30€,5.71€,-81%, 4 octubre 2012,86 /100,GAME,2019-03-29
130,World of Warcraft: Tarjeta 30 Días (Europe),Battle.net,13€,10.99€,-15%,29 noviembre 2004,94 /100,DLC,2019-03-29
131,The Elder Scrolls Online: Tamriel Unlimited 3000 Crown Pack,Official Website,21€,17.69€,-16%,N/A,69 /100,DLC,2019-03-29
132,Battlefield 4: Premium Edition (juego incluido + all DLC) (Europe),Origin,70€,13.23€,-81%,24 octubre 2014,85 /100,GAME,2019-03-29
133,Xbox Live Gold 3 Month Membership (Europe),Xbox,20€,12.99€,-35%,N/A,100 /100,GAME,2019-03-29
134,Total War: Warhammer,Steam,60€,11.44€,-81%,24 mayo 2016,84 /100,GAME,2019-03-29
135,Tarjeta PlayStation Network 10€ (España) (ES),Playstation,10€,9.09€,-9%,N/A,96 /100,GAME,2019-03-29
136,Insurgency: Sandstorm,Steam,30€,20.31€,-32%,12 diciembre 2018,78 /100,GAME,2019-03-29
137,NBA 2K19 (Europe),Steam,50€,17.13€,-66%,10 septiembre 2018,69 /100,GAME,2019-03-29
138,Northgard,Steam,28€,8.05€,-71%,22 febrero 2017,88 /100,GAME,2019-03-29
139,Hitman 2,Steam,60€,15.85€,-74%,13 noviembre 2018,86 /100,GAME,2019-03-29
140,Tarjeta regalo Xbox Live 25€ (zona euro),Xbox,25€,23.99€,-4%,N/A,95 /100,GAME,2019-03-29
141,The Witcher 3: Wild Hunt GOTY,GOG.com,50€,14.98€,-70%,30 agosto 2016,95 /100,GAME,2019-03-29
142,Worms: Weapons of Mass Destruction,Steam,30€,6.89€,-77%,23 agosto 2016,93 /100,GAME,2019-03-29
143,Dark Souls 2: Scholar of the First Sin,Steam,40€,7.99€,-80%, 2 abril 2015,87 /100,GAME,2019-03-29
144,The Legend of Zelda: Breath of the Wild Switch (Europe),Nintendo,70€,54.99€,-21%, 3 marzo 2017,95 /100,GAME,2019-03-29
145,Battlefield 4 (Europe),Origin,20€,6.22€,-69%,31 octubre 2013,85 /100,GAME,2019-03-29
146,Shadow of the Tomb Raider,Steam,60€,22.03€,-63%,14 septiembre 2018,90 /100,GAME,2019-03-29
147,Tarjeta PlayStation Network 20€ (España) (ES),Playstation,20€,17.99€,-10%,N/A,96 /100,DLC,2019-03-29
148,Ghost Recon: Wildlands (Europe),Uplay,50€,18.99€,-62%, 7 marzo 2017,83 /100,GAME,2019-03-29
149,Battlefield 1 Revolution Edition ,Origin,60€,11.49€,-81%,22 agosto 2017,85 /100,GAME,2019-03-29
150,Nintendo Membership 12 Month (Individual) (Europe),Nintendo,20€,17.99€,-10%,19 septiembre 2018,88 /100,GAME,2019-03-29
151,Dishonored 2,Steam,40€,6.95€,-83%,11 noviembre 2016,85 /100,GAME,2019-03-29
152,Dragon Ball FighterZ,Steam,60€,18.15€,-70%,26 enero 2018,87 /100,GAME,2019-03-29
153,Tarjeta regalo Xbox Live 15€ (zona euro),Xbox,15€,14.50€,-3%,N/A,95 /100,GAME,2019-03-29
154,Stellaris,Steam,40€,7.00€,-82%, 9 mayo 2016,85 /100,GAME,2019-03-29
155,Xbox Game Pass 3 Months Xbox ONE,Xbox,30€,19.99€,-33%,N/A,99 /100,GAME,2019-03-29
156,Mount and Blade: Warband (Europe),Steam,20€,1.88€,-91%,31 marzo 2010,92 /100,GAME,2019-03-29
157,Assassin's Creed: Unity Xbox ONE,Xbox,60€,1.79€,-97%,13 noviembre 2014,79 /100,GAME,2019-03-29
158,Kingdom Come: Deliverance,Steam,50€,19.32€,-61%,13 febrero 2018,83 /100,GAME,2019-03-29
159,Euro Truck Simulator 2 Gold Edition,Steam,16€,6.04€,-62%,19 octubre 2012,91 /100,GAME,2019-03-29
160,Warhammer: Vermintide 2,Steam,28€,10.89€,-61%, 8 marzo 2018,87 /100,GAME,2019-03-29
161,Guild Wars 2: Heart of Thorns,Ncsoft,30€,15.29€,-49%, 5 julio 2015,88 /100,GAME,2019-03-29
162,Batman: Arkham Knight,Steam,20€,3.74€,-81%,23 junio 2015,84 /100,GAME,2019-03-29
163,Car Mechanic Simulator 2018,Steam,20€,8.57€,-57%,28 julio 2017,76 /100,GAME,2019-03-29
164,Diablo III (Europe),Battle.net,20€,9.09€,-55%,15 mayo 2012,89 /100,GAME,2019-03-29
165,Forza Motorsport 7 (PC / Xbox ONE),Xbox Play Anywhere,50€,25.99€,-48%, 3 octubre 2017,69 /100,GAME,2019-03-29
166,Office Professional Plus 2016,Software,400€,28.98€,-93%,22 septiembre 2017,84 /100,GAME,2019-03-29
167,The Elder Scrolls V: Skyrim (Europe),Steam,15€,5.26€,-65%,11 noviembre 2011,94 /100,GAME,2019-03-29
168,Grand Theft Auto Online: Whale Shark Cash Card,Rockstar,38€,24.26€,-36%,14 abril 2015,87 /100,DLC,2019-03-29
169,HearthStone: Heroes of WarCraft 5x Booster Pack,Battle.net,7€,1.01€,-85%,12 marzo 2014,87 /100,DLC,2019-03-29
170,Hearts of Iron: Man The Guns,Steam,20€,9.77€,-51%,28 febrero 2019,100 /100,DLC,2019-03-29
171,For Honor (Europe),Uplay,30€,10.49€,-65%,14 febrero 2017,78 /100,GAME,2019-03-29
172,Final Fantasy XIV Online Complete Edition (Europe),Official Website,40€,21.64€,-46%,20 junio 2017,90 /100,GAME,2019-03-29
173,DiRT 3 Complete Edition,Steam,20€,1.01€,-95%,24 mayo 2011,89 /100,GAME,2019-03-29
174,Tarjeta Nintendo eShop 25€ (Europe),Nintendo,25€,23.99€,-4%,N/A,98 /100,GAME,2019-03-29
175,Euro Truck Simulator 2: Going East,Steam,10€,3.40€,-66%,19 septiembre 2013,95 /100,DLC,2019-03-29
176,Hitman 2 Gold Edition,Steam,90€,26.49€,-71%,13 noviembre 2018,86 /100,GAME,2019-03-29
177,F1 2015,Steam,35€,1.23€,-96%,10 julio 2015,74 /100,GAME,2019-03-29
178,Super Smash Bros. Ultimate Switch (Europe),Nintendo,70€,54.99€,-21%, 7 diciembre 2018,90 /100,GAME,2019-03-29
179,Call of Duty: World War II (Europe),Steam,60€,14.98€,-75%, 3 noviembre 2017,68 /100,GAME,2019-03-29
180,Final Fantasy XV Windows Edition,Steam,50€,18.99€,-62%, 6 marzo 2018,84 /100,GAME,2019-03-29
181,New Super Mario Bros. U Deluxe Switch (Europe),Nintendo,60€,47.99€,-20%,11 enero 2019,90 /100,GAME,2019-03-29
182,Euro Truck Simulator 2: Special Transport,Steam,5€,3.99€,-20%,13 diciembre 2017,? /100,DLC,2019-03-29
183,Devil May Cry 5 Deluxe Edition,Steam,71€,47.75€,-33%, 8 marzo 2019,90 /100,GAME,2019-03-29
184,Wolfenstein: The New Order,Steam,20€,3.60€,-82%,19 mayo 2014,90 /100,GAME,2019-03-29
185,World of Warcraft: Battle Chest (Europe),Battle.net,15€,8.39€,-44%, 2 octubre 2007,92 /100,GAME,2019-03-29
186,Wizard Of Legend,Steam,16€,4.36€,-73%,15 mayo 2018,80 /100,GAME,2019-03-29
187,Tropico 5 Complete Collection,Steam,40€,7.49€,-81%,N/A,84 /100,GAME,2019-03-29
188,XCOM 2 (Europe),Steam,50€,8.76€,-82%, 4 febrero 2016,89 /100,GAME,2019-03-29
189,Need for Speed,Origin,40€,8.59€,-79%,17 marzo 2016,70 /100,GAME,2019-03-29
190,Kerbal Space Program,Steam,40€,8.43€,-79%,27 abril 2015,94 /100,GAME,2019-03-29
191,Fallout 76 Xbox ONE,Xbox,70€,17.99€,-74%,14 noviembre 2018,55 /100,GAME,2019-03-29
192,Outlast,STEAM,17€,2.36€,-86%, 4 septiembre 2013,94 /100,GAME,2019-03-29
193,Assassin's Creed IV: Black Flag (Europe),Uplay,20€,4.33€,-78%,29 octubre 2013,86 /100,GAME,2019-03-29
194,Gauntlet,Steam,20€,1.79€,-91%,23 septiembre 2014,84 /100,GAME,2019-03-29
195,Pro Evolution Soccer 2019 (Europe),Steam,50€,13.20€,-74%,30 agosto 2018,66 /100,GAME,2019-03-29
196,Grand Theft Auto Online: Megalodon Shark Cash Card,Rockstar,75€,44.98€,-40%,14 abril 2015,87 /100,DLC,2019-03-29
197,Mario Kart 8 Deluxe Switch (Europe),Nintendo,60€,47.99€,-20%,28 abril 2017,98 /100,GAME,2019-03-29
